FILE,raw_amp,a_open,a_close,X-UA-Compatible,viewport,anchor_open,anchor_close,unmatched_open,unmatched_close,changed
041170.htm,0,4,4,0,1,4,4,3,0,yes
10kbp.htm,0,1,1,0,1,1,1,0,0,no
11.htm,0,0,0,0,1,0,0,0,0,no
12_12_1993.htm,0,0,0,0,1,0,0,0,0,no
12_1993.htm,0,3,3,0,0,3,3,1,0,yes
180let.htm,0,0,0,0,0,0,0,0,0,no
1953.htm,0,3,3,0,1,3,3,2,0,yes
1966.htm,0,1,1,0,1,1,1,0,0,no
1972-gxz.htm,0,1,1,0,1,1,1,1,0,yes
1985_g.htm,0,0,0,0,1,0,0,0,0,no
1993-1994.htm,0,0,0,0,1,0,0,0,0,no
1999.htm,0,0,0,0,1,0,0,0,0,no
1may.htm,0,2,2,0,1,2,2,2,0,yes
2.htm,0,0,0,0,1,0,0,0,0,no
5-1.htm,0,0,0,0,1,0,0,0,0,no
5sutok.htm,0,2,2,0,1,2,2,2,0,yes
60.htm,0,0,0,0,1,0,0,0,0,no
7a.htm,0,0,0,0,1,0,0,0,0,no
Honor.html,0,0,0,0,1,0,0,0,0,no
Ivan_Vasilevich.htm,0,0,0,0,1,0,0,0,0,no
Kurlovo1960.html,0,0,0,0,0,0,0,0,0,no
XXvek\4_9_2005.htm,0,2,2,0,1,2,2,0,0,no
XXvek\toska.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b101.htm,0,25,25,0,1,25,25,0,0,no
a_sch\001b102.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b103.htm,0,1,1,0,1,1,1,0,0,no
a_sch\001b104.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b105.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b201.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b202.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b203.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b204.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b205.htm,0,1,1,0,1,1,1,0,0,no
a_sch\001b206.htm,0,5,5,0,1,5,5,0,0,no
a_sch\001b207.htm,0,1,1,0,1,1,1,0,0,no
a_sch\001b208.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b209.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b210.htm,0,2,2,0,1,2,2,0,0,no
a_sch\001b211.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b212.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b213.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b214.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b215.htm,0,5,5,0,1,5,5,0,0,no
a_sch\001b216.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b217.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b218.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b219.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b220.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001b221.htm,0,1,1,0,1,1,1,0,0,no
a_sch\001b222.htm,0,0,0,0,1,0,0,0,0,no
a_sch\001btoc.htm,0,27,27,0,1,27,27,0,0,no
